row,part,note_index,measure,page,engraving_pitch,page_pitch_read,verdict,reviewer,notes
1,Lead,0,3,page-196.jpg,A#3,,,,
2,Lead,1,3,page-196.jpg,A3,,,,
3,Lead,2,3,page-196.jpg,A#3,,,,
4,Lead,3,4,page-196.jpg,D#4,,,,
5,Lead,4,4,page-196.jpg,C#4,,,,
6,Lead,5,4,page-196.jpg,C4,,,,
7,Lead,6,4,page-196.jpg,C#4,,,,
8,Lead,7,5,page-196.jpg,B3,,,,
9,Lead,8,6,page-196.jpg,B3,,,,
10,Lead,9,6,page-196.jpg,A#3,,,,
11,Lead,10,6,page-196.jpg,B3,,,,
12,Lead,11,6,page-196.jpg,C#3,,,,
13,Lead,12,7,page-196.jpg,C4,,,,
14,Lead,13,7,page-196.jpg,B3,,,,
15,Lead,14,7,page-196.jpg,C4,,,,
16,Lead,15,7,page-196.jpg,C4,,,,
17,Lead,16,7,page-196.jpg,C4,,,,
18,Lead,17,7,page-196.jpg,C4,,,,
19,Lead,18,7,page-196.jpg,B3,,,,
20,Lead,19,7,page-196.jpg,C4,,,,
21,Lead,20,8,page-196.jpg,D#4,,,,
22,Lead,21,8,page-196.jpg,C#4,,,,
23,Lead,22,8,page-196.jpg,C4,,,,
24,Lead,23,8,page-196.jpg,C#4,,,,
25,Lead,24,9,page-196.jpg,B3,,,,
26,Lead,25,10,page-197.jpg,D#4,,,,
27,Lead,26,10,page-197.jpg,B3,,,,
28,Lead,27,11,page-197.jpg,F#3,,,,
29,Lead,28,11,page-197.jpg,D#4,,,,
30,Lead,29,11,page-197.jpg,D4,,,,
31,Lead,30,12,page-197.jpg,C#4,,,,
32,Lead,31,12,page-197.jpg,A#3,,,,
33,Lead,32,12,page-197.jpg,C#4,,,,
34,Lead,33,12,page-197.jpg,A#3,,,,
35,Lead,34,12,page-197.jpg,C#4,,,,
36,Lead,35,13,page-197.jpg,B3,,,,
37,Lead,36,14,page-197.jpg,A#3,,,,
38,Lead,37,14,page-197.jpg,F#3,,,,
39,Lead,38,15,page-197.jpg,C4,,,,
40,Lead,39,15,page-197.jpg,G#3,,,,
41,Lead,40,15,page-197.jpg,F#3,,,,
42,Lead,41,16,page-197.jpg,F3,,,,
43,Lead,42,16,page-197.jpg,F#3,,,,
