ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _stripe_product_id
anxiety-depression-protocol-package,simple,anxiety-depression-protocol-package,"Anxiety & Depression Protocol Package",1,1,visible,"More Protocol Information - Premium quality peptide","lularPeptide Powered by Shopify",,,taxable,,1,999,0,0,,,,,1,,,825,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Selank_CofA.png?v=10033029316428127871",,,,,,,,,0,,,,,
blood-sugar-weight-reduction-package,simple,blood-sugar-weight-reduction-package,"Blood Sugar Support & Weight Reduction Package",1,1,visible,"More Protocol Information - Premium quality peptide","sults as the weight is still continuing to be trimmed off as I am into week 13 of the 16 week program.""

G. Kier, Health Professional from Colorado

“I have battled weight loss for years getting in great shape and then rebounding back to having excess fat and weight. I've seen friends take semaglutide and although they had weight loss, many looked like zombies because they were so nutrient deficient. It's obvious that most people don't realize the importance of increasing their nutrient quality",,,taxable,,1,999,0,0,,,,,1,,,1080,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Semaglutide_CofA.webp?v=188050945325171539",,,,,,,,,0,,,,,
body-recomposition-metabolic-health-package,simple,body-recomposition-metabolic-health-package,"Body Recomposition & Metabolic Health Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,1470,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Retatrutide_CofA_1.png?v=6537752094447316042",,,,,,,,,0,,,,,
bpc157-tb500-5mg-5mg-combination,simple,bpc157-tb500-5mg-5mg-combination,"BPC-157 + TB-500 5mg/5mg Combination",1,1,visible,"More Protocol Information - Premium quality peptide","weeks, my knee pain was completely gone. It truly is amazing. Saved me 10s of thousands of dollars and a lot of pain.”

B. Schooner

I had a shoulder injury for over 2 years and followed nutrient, nutrition and rehab perfectly to no avail... I started the BPC-157 / TB-500 protocol and by the 2nd month I was pain free and lifting like I did years previously.

Doug Grant

Get Started

Terms & Policies Contact Us IRB Portal Gateway
© 2025, CellularPeptide Powered by Shopify",,,taxable,,1,999,0,0,,,,,1,,,120,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/BPC-157_TB500_CofA.webp?v=16230190115531293813",,,,,,,,,0,,,,,
ghk-cu-100mg-single-vial,simple,ghk-cu-100mg-single-vial,"GHK-Cu 100mg",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,135,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/ghk_cu_100mg_-_stright_on_1_6a1cceb2-d15e-433c-b350-cd5ecac779b5.png?v=1738611503&width=533",,,,,,,,,0,,,,,
hair-growth-skin-health-protocol,simple,hair-growth-skin-health-protocol,"Hair Growth & Skin Health Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,510,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Hair_Growth_Skin_Health_Package_6d2ddef3-d9d5-4010-b026-a816846c0c2f.png?v=1738569280&width=533",,,,,,,,,0,,,,,
hormone-balancing-protocol-package,simple,hormone-balancing-protocol-package,"Hormone Balancing Protocol Package",1,1,visible,"More Protocol Information - Premium quality peptide","More Protocol Information - Premium quality peptide",,,taxable,,1,999,0,0,,,,,1,,,540,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/Kisspeptin_CofA.webp?v=3534867336005953010",,,,,,,,,0,,,,,
nad-500mg-single-vial,simple,nad-500mg-single-vial,"NAD+ 500mg",1,1,visible,"More Protocol Information - Premium quality peptide","produce more energy, improving metabolic health by supporting the pathways that regulate glucose and lipid metabolism, promoting neuroprotection by reducing oxidative stress and supporting brain function.

As a result, users will experience more restorative, consistent sleep, naturally increased energy levels, and healthier aging.

New research is being performed and continuously discovering new exciting benefits of these peptides.

Terms & Policies Contact Us IRB Portal Gateway
© 2025, Cellular",,,taxable,,1,999,0,0,,,,,1,,,150,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/NAD_500mg-straight.png?v=1738611401&width=533",,,,,,,,,0,,,,,
natural-energy-reset-protocol-package,simple,natural-energy-reset-protocol-package,"Natural Energy Reset Protocol Package",1,1,visible,"More Protocol Information - Premium quality peptide","restorative, consistent sleep, naturally increased energy levels, and healthier aging.

New research is being performed and continuously discovering new exciting benefits of these peptides.

Terms & Policies Contact Us IRB Portal Gateway
© 2025, CellularPeptide Powered by Shopify",,,taxable,,1,999,0,0,,,,,1,,,975,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/DSIP_CofA_1.png?v=8521414764492604178",,,,,,,,,0,,,,,
oral-bpc-157,simple,oral-bpc-157,"Oral BPC-157",1,1,visible,"More Protocol Information - Premium quality peptide","ell surface within the oral cavity and lower intestines. In addition, a liposome is utilized to safeguard the chelated BPC-157 from being broken down in the stomach.

The BPC-157 peptide speeds up the body's anti-inflammatory and recovery properties throughout the body. While there are promising studies, it is still undetermined as to whether or not BPC-157 can be fully absorbed through the intestinal wall when taken orally for recovery throughout the body. However, it has been shown to provide ",,,taxable,,1,999,0,0,,,,,1,,,225,Single Peptides,,,"https://cellularpeptide.com/cdn/shop/files/BPCbox_sachet.png?v=1736965406&width=533",,,,,,,,,0,,,,,
